Nom;Fréquence / 5;;;;;;;;;
Village pêcheur;2;;;;;;;;;
Narrator : Après avoir évité une vingtaine de bateau de pêche, le bateau accoste dans un petit port. L'air empeste le poisson.;;;;;;;;;;
SetChoices3;;;;;;;;;;
Choice : Aller voir les pêcheurs;Choice : Repartir;;Choice : Entrer dans le village;;;;;;;
NewCharacter;PlayerSpeak : Ça pue on s'casse.;;CheckDay;;;;;;;
PlayerSpeak : Bonjour pêcheur !;Leave;;Narrator : Le village est petit mais vivant, c'est un jour de marché. Des hommes déplacent des caisses de poissons pendant que des femmes le cuisine et le vend. Une petite rue s'ouvre vers la gauche;;;;Narrator : Le village est sombre et calme. La place est éclairée par quelques torches. La fenêtre d'une petite maison est éclairée.;;;
OtherSpeak : Salut à toi;;;SetChoices3;;;;SetChoices2;;;
SetChoices3;;;Choice : Retourner sur les quais;Choice : Parler aux poissoniers;Choice : S'aventurer dans le village;;Choice : Retourner sur les quais;Choice : S'aventurer dans le village;;
Choice : Bobby Dick, ça te dit quelque chose ?;Choice : Tu AS du poisson, ou autre, à me vendre non ?;Choice : (Revenir aux quais);GoToA/3;NewCharacter;Narrator : La rue mène sur un impasse et sur la chaleur d'une taverne.;;GoToA/4;Narrator : La rue mène sur un impasse et sur la chaleur d'une taverne. Toutes les boutiques sont fermées.;;
OtherSpeak : Oui je crois. Certains clients en parlent;OtherSpeak : Et comment !;HideOther;;PlayerSpeak : Hé la !;SetChoices2;;;SetChoices2;;
OtherSpeak : Ils partent…;TradeFood;GoToA/4;;OtherSpeak : Hé ho !;Choice : Entrons;Choice : Revenons en arrière;;Choice : Entrons !;Choice : Revenons en arrière;
GiveDirectionToClue;PlayerSpeak : Merci bien !;;;OtherSpeak : Qu'est-ce que je peux faire ?;GoToA/22;GoToD/8;;GoToA/22;GoToD/6;
GoToA/9;OtherSpeak : Au plaisir;;;PlayerSpeak : Me vendre à manger.;;;;;;
;GoToA/9;;;TradeFood;;;;;;
;;;;OtherSpeak : A la prochaine !;;;;;;
;;;;HideOther;;;;;;
;;;;GoToD/9;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Fade;;;;;;;;;;
Narrator : La taverne est grande mais il y a peu de client.;;;;;;;;;;
NewCrew;;;;;;;;;;
OtherSpeak : Qu'est-ce que je peux faire pour vous ?;GoToA/44;;;;;;;;;
SetChoices4;;;;;;;;;;
Choice : Des chambres pour mes hommes !;;;Choice : On a faim !;Choice : (autre);Choice : Ça ira pour aujourdh'ui;;SetChoices3;;;
OtherSpeak : Ça sera 10 pièces d'or;;;OtherSpeak : Regardez voir ce que j'ai;GoToH/27;OtherSpeak : Bon bah à la prochaine !;;Choice : C'est quoi les nouvelles de la région ?;;Choice : (attaquer);Choice : (autre)
SetChoices2;;;TradeFood;;HideOther;;RandomPercent40;;GoToA/42;GoToA/26
Choice : Tenez !;;Choice : Je n'ai pas assez…;GoToA/25;;GoToF/10;;OtherSpeak : Qu'est-ce que j'en sais moi ?;GiveTip;;
CheckGold10;;OtherSpeak : C'est rien mon bon monsieur;;;;;GoToA/25;GoToA/25;;
RemoveGold10;OtherSpeak : Désolé mon bon m'sieur mais c'est pas assez;GoToA/25;;;;;;;;
OtherSpeak : Prenez le dortoir à gauche en haut des escaliers !;GoToA/25;;;;;;;;;
OtherSpeak : Bonne nuit;;;;;;;;;;
HideOther;;;;;;;;;;
RandomPercent5;;;;;;;;;;
SetWeatherNight;;;;;;SetWeatherDay;;;;
Narrator : Des craquements dans le couloir réveillent l'équipage;;;;;;Narrator : L'équipe se réveille au chant des mouettes…;;;;
SetChoices2;;;;;;OtherSpeak : Alors, bien dormis ?;;;;
Choice : Je vais voir ce que c'est;;;;Choice : On verra demain…;;SetChoices2;;;;
PlayerSpeak : Vous pensiez nous avoir comme ça ?!;;;;SetWeatherDay;;Choice : Non j'ai très mal dormis;Choice : Oui merci !;;;
OtherSpeak : Sacre Bleu !;;;;Narrator : L'équipage se réveille. Plus de deux cents pièces d'or ont disparues;;OtherSpeak : Bah merde alors…;OtherSpeak : Génial;;;
LaunchCombat;;;;PlayerSpeak : Ma bourse ! Qui a pris ma bourse !;;GoToA/25;GoToA/25;;;
Narrator : Il n'y a plus personne dans l'auberge.;;;;RemoveGold100;;;;;;
SetChoices3;;;;SetChoices2;;;;;;
Choice : Chercher le garde manger;;Choice : Repasser une nuit à l'auberge;Choice : Sortir de l’auberge;Choice : (Aller voir le tavernier);Choice : (Partir comme si de rien était);;;;;
RandomPercent10;;PlayerSpeak : Je crois qu'on a besoin d'une bonne nuit de sommeil;PlayerSpeak : On a rien plus rien à faire ici !;GoToA/41;GoToF/10;;;;;
Narrator : La porte du garde manger est entrouverte;Narrator : La porte du garde manger est fermée;SetWeatherDay;Fade;;;;;;;
SetChoices2;GoToA/45;GoToA/45;GoToF/10;;;;;;;
Choice : Fouiller;Choice : Revenir;;;;;;;;;
RandomPercent25;GoToA/45;;;;;;;;;
PlayerSpeak : Il n'y a rien là dedans.;PlayerSpeak : Miam !;;;;;;;;;
GoToA/49;LootFood;;;;;;;;;
;GoToA/49;;;;;;;;;
