Fonctions;Description;écrite ?;Testée ?
Leave;clos l'histoire, retourne à la navigation;;
ChangeStory;lance une histoire au sein d'une histoire. ( ChangeStory=>Nom de l'histoire[noeud ciblé/noeud de retour] ) exemple : ChangeStory=>Taverne[entrée taverne/plage];;
Fade;fondu au noir. Sers de transition entre les lieux par exemple.;;
CheckFirstVisit;se décalé si ce n'est pas la première visite du joueur.;;
RandomPercent;nombre aléatoire entre 0 et 100. se décale si le nombre est au-delà de X ( RandomRedoPercent10 = 90 % de chance de se décaler );;
RandomRange;choisit aléatoirement entre X décalage. ( RandomRedoRangeX ).;;
RandomRedoPercent;pareil que RandomPercent. Mais le décalage change à chaque fois, l'aléatoire n'est pas conservé.;;
RandomRedoRange;pareil que RandomRange. Mais le décalage change à chaque fois, l'aléatoire n'est pas conservé.;;
NewCrew;crée un équipage aléatoire ( NewCrew ou NewCrewX ou NewCrew X/M ) X étant la taille de l'équipage et M le sexe (M/F);;
ShowPlayer;Fait apparaître l'équipage joueur;;
ShowOther;Fait apparaître l'équipage adverse;;
HidePlayer;Cache l'équipage joueur;;
HideOther;Cache l'équipage adverse;;
AddMember;Ajoute le membre adverse parlant dans l'équipage joueur.;;
RemoveMember;Tue un membre aléatoire de l'équipage joueur.;;
Narrator;Fait apparaître le cadre narrateur avec du texte ( ex : Narrator : L'île et froide et triste );;
SetChoices;fait apparaître plusieurs bulles de dialogues que le joueur peut choisir X étant le nombre de choix ( SetChoisesX );;
PlayerSpeak;Fait parler le capitaine de l'équipage joueur ( PlayerSpeak : Oyé matelot ! );;
OtherSpeak;Fait parler le capitaine de l'équipage adverse ( OtherSpeak : Oyé matelot ! );;
GiveTip;Le personnage adverse donne un conseil aléatoire.;;
CheckGold;Se décale si le joueur n'a pas X argent ( CheckGoldX );;
RemoveGold;enlève X argent au joueur ( RemoveGoldX );;
AddGold;ajoute X argent au joueur ( AddGoldX );;
AddToInventory;AddToInventory<NomDeLObjet>/Catégorie OU AddToInventory/Catégorie (donne un objet aléatoire dans la catégorie);;
RemoveFromInventory;;;
CheckInInventory;;;
Loot;crée un butin ramassable ( LootCategorie ou LootCategorie/AutreCategorie ) exemple : LootWeapon/Food;;
Trade;crée un butin de marchand ( TradeCategorie ou TradeCategorie/AutreCategorie ) exemple : TradeWeapon/Food;;
BoatUpgrades;Ouvre la fenetre des améliorations bateaux;;
LaunchCombat;lance un combat avec l'équipage adverse;;
CheckClues;lance la vérification d'indice pour le trésor ( décalage : 0 = mauvais indice, 1 = un indice trouvé, 2 = tous les indices trouvés);;
SetWeather;Change la météo ( SetWeatherDay / SetWeatherNight / SetWeatherRain );;
ChangeTimeOfDay;Change la météo ( passe de nuit à jour ou jour à nuit );;
CheckDay;se décale si c'est la nuit;;
Node;va au nœud donné ( Node=>Noeud ) exemple Node=>discussion pirate;;
Switch;renverse un nœud.;;
CheckStat;se décale si le charisme une certaine statistique est inférieur ou égale à celle du capitaine adverse ( CheckStatSTR, CHA, CON, ou DEX );;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;OtherSpeak : Ils allaient DIRECTIONTOFORMULA;
