Nom;Fréquence %;;;;;
Forgeron;4;;;;;
[debut];;;;;;
Narrator : Le bateau est accosté sur une plage d'herbe. Elle est composée de quelques plates collines. Pas très loin, une maisonnette est surplombée d'une gigantesque cheminée, qui crache une colonne de fumée noire.;;;;;;
SetChoices2;;;;;;
Choice : Repartir;Choice : Avancer vers la maison;;;;;
PlayerSpeak : Pas le temps;PlayerSpeak : Allons y…;;;;;
Leave;Fade;;;;;
;Mark=>maison forgeron;;;;;
;;;;;;
[maison forgeron];;;;;;
Narrator : Le capitaine arrive devant une petite maison de briques rouges. ;;;;;;
NewCrew1;;;;;;
OtherSpeak : Bonjour !;Mark=>forgeron mort;OtherSpeak : Tu oses revenir…;;;;
Mark=>discussion forgeron;;LaunchCombat;;;;
;;Mark=>combat forgeron;;;;
[discussion forgeron];;;;;;
SetChoices3;;;;;;
Choice : Héla ! Tu vends des armes ?;;Choice : ( partir );Choice : (attaquer sauvagement);;;
RandomPercent8;;HideOther;[combat forgeron];;;
OtherSpeak : Pas à des gens comme toi !;OtherSpeak : Avec plaisir !;Fade;OtherSpeak : Tu te frottes à la mauvaise personne !;;;
Mark=>discussion forgeron;TradeWeapons/Clothes/Shoes;Mark=>discussion forgeron;LaunchCombat;;;
;Mark=>discussion forgeron;;Mark=>forgeron mort;;;
;;;;;;
;;;;;;
;;;;;;
[forgeron mort];;;;;;
Narrator : Le forgeron est mort, mais sa forge continu de brûler. Derrière la forge se trouve toute sorte de métaux.;;;;;;
SetChoices3;;;;;;
Choice : Entrer dans maison;;;Choice : ( regarder derrière forge );;;Choice : ( partir )
NewCrew1;;;RandomRange3;;;Fade
OtherSpeak : !;Mark=>femme mort;Mark=>combat femme;PlayerSpeak : Que des bouts de métal et de la rouille !;PlayerSpeak : Tout plein de choses, mais pas d'armes !;PlayerSpeak : Bingo !;Mark=>debut
OtherSpeak : Qu'est-ce que vous faites chez moi ?!;;;Mark=>forgeron mort;LootMisc;LootWeapons;
Mark=>choix femme;;;;Mark=>forgeron mort;Mark=>forgeron mort;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
[choix femme];;;;;;
SetChoices2;;;;;;
Choice : J'ai tué votre mari…;;Choice : Vous allez mourir;;;;
OtherSpeak : Noooooon;;Mark=>combat femme;;;;
RandomPercent50;;;;;;
Narrator : La magnifique femme est à genoux et pleure…;Mark=>combat femme;;;;;
SetChoices2;;;;;;
Choice : Fouiller;Choice : Partir;;;;;
Mark=>fouiller;HideOther;;;;;
;Fade;;;;;
;Mark=>forgeron mort;;;;;
;;;;;;
[combat femme];;;;;;
OtherSpeak : Enculé !;;;;;;
LaunchCombat;;;;;;
Mark=>femme mort;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
[femme mort];;;;;;
Narrator : Le cadavre de la femme git au beau milieu du salon. La maison est vide.;;;;;;
[fouiller];;;;;;
SetChoices3;;;;;;
Choice : ( fouiller cuisine );;Choice : ( fouiller bureau );;Choice : ( sortir );;
RandomRange2;;RandomRange2;;Fade;;
PlayerSpeak : Ils ont TOUT mangé !;PlayerSpeak : Miam !;PlayerSpeak : Juste quelques patrons et des lettres…;PlayerSpeak : Il y a une sorte de carte….;Mark=>forgeron mort;;
Mark=>fouiller;LootFood;Mark=>fouiller;GiveDirectionToClue;;;
;Mark=>fouiller;;Mark=>fouiller;;;
