Nom;Fréquence / 5;;;;;;;
Taverne;2;;;;;;;
Narrator : Après avoir évité une vingtaine de bateau de pêche, le bateau accoste dans un petit port. L'air empeste le poisson.;;;;;;;;
setChoices3;;;;;;;;
Aller voir les pêcheurs;;Entrer dans le village;Repartir;;;;;
randomCharacter;;checkDay;PlayerSpeak : Ça pue on s'casse.;;;;;
PlayerSpeak : Bonjour pêcheur !;;Narrator : Le village est petit mais vivant, c'est un jour de marché. Des bruits de marteaux et de scies viennent d'un petit hangar. Une petite rue s'ouvre vers la gauche;leave;;;Narrator : Le village est sombre et calme. La place est éclairée par quelques torches.;;
OtherSpeak : Salut à toi;;setChoices3;;;;setChoices3;;
setChoices2;;Retourner sur les quais;Vers le hangar !;S'aventurer dans le village;;Retourner sur les quais;S'aventurer dans le village;
Bobby Dick, ça te dit quelque chose ?;Tu AS du poisson, ou autre, à me vendre non ?;goTo1/2;;Narrator : La rue mène sur un impasse et sur la chaleur d'une taverne.;;goTo1/2;Narrator : La rue mène sur un impasse et sur la chaleur d'une taverne. Toutes les boutiques sont fermées;
Narrator : Tu dois coder le système d'indice enculé : si le mec te donne un indice ou pas, tu coche l'île;OtherSpeak : Et comment !;;;setChoices2;;;setChoices2;
goTo1/2;tradeFood;;;Entrons;Revenons en arrière;;Entrons;Revenons en arrière
;PlayerSpeak : Merci bien !;;;goTo1/22;goTo3/5;;goTo1/22;goTo3/5
;OtherSpeak : Au plaisir;;;;;;;
;deleteOther;;;;;;;
;goTo1/2;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
randomCrew;;;;;;;;
OtherSpeak : Qu'est-ce que je peux faire pour vous ?;;;;;;;;
setChoices3;;;;;;;;
Des chambres pour mes hommes !;;;On a faim !;Ça ira pour aujourdh'ui;;;;
OtherSpeak : Ça sera 50 pièces d'or;;;OtherSpeak : Regardez voir ce que j'ai;OtherSpeak : Bon bah à la prochaine !;;;;
setChoices2;;;tradeFood;hideOther;;;;
Tenez !;;Je n'ai pas assez…;goTo1/23;goTo5/8;;;;
checkGold50;;OtherSpeak : Alors je peux rien faire pour vous;;;;;;
OtherSpeak : Prenez le dortoir à gauche en haut des escaliers !;OtherSpeak : Désolé mon bon m'sieur mais c'est pas assez;goTo1/23;;;;;;
OtherSpeak : Bonne nuit;goTo1/23;;;;;;;
setWeatherDay;;;;;;;;
nextDay;;;;;;;;
Narrator : L'équipe se réveille au son des mouettes…;;;;;;;;
OtherSpeak : Alors, bien dormis ?;;;;;;;;
setChoices2;;;;;;;;
Non j'ai très mal dormis;Oui merci;;;;;;;
OtherSpeak : Mince alors;OtherSpeak : Comme toujours !;;;;;;;
goTo1/23;goTo1/23;;;;;;;
