Nom;Fréquence %;;
Bandits;9;;
Narrator : L'équipage accoste sur une petite île.;;;
NewCrew;;;
Narrator : Quelques hommes s'avancent;Narrator : Le sol est jonché de corps de bandits;;
OtherSpeak : Oyé !;SetChoices2;;
PlayerSpeak : Ahoi !;Choice : Partir;Choice : Rester pour la nuit;
OtherSpeak : C'est simple : 30 pièces d'or ou c'est fini !;Leave;SetWeatherDay;
SetChoices3;;GoToB/6;
Choice : Tenez…;;Choice : Plutôt mourir !;Choice : Je n'ai pas assez
CheckGold30;;LaunchCombat;OtherSpeak : Tanpis Pour vous !
RemoveGold30;OtherSpeak : Vous vous foutez de moi ?;Leave;LaunchCombat
OtherSpeak : C'est très bien ça…;OtherSpeak : Déglingez les, les gars !;;Leave
OtherSpeak : A la prochaine;LaunchCombat;;
Leave;Leave;;
