Nom;Fréquence %;Sprite ID;;;;;
Casino;1,49;1;;;;;
Narrator : L'île est assez grande. Une musique émane de derrière des dunes de sable. Un chemin y mène.;;;;;;;
[debut];;;;;;;
SetChoices2;;;;;;;
Choice : Lever l'ancre(partir);Choice : Vers la grange;;;;;;
PlayerSpeak : On s'en va !;Fade;;;;;;
Leave;CheckQuest=>entrée casino;;;;;;
;Node=>entrée casino;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
[entrée casino];;;;;;;
NewCrew4;;;;;;;
Narrator : L'ambiance est joviale. Des gens sont assis à des tables, ils jouent aux cartes. Un serveur se tient derrière le comptoir.;Node=>salleVide;Node=>combatSalle;;;;;
[choix salle];;;OtherSpeak : Allez DIRECTIONTOFORMULA, vous en saurez plus.;;;;
SetChoices4;;;;;;;
Choice : (attaquer tout le monde)(attaquer);Choice : Je peux jouer ?!;Choice : (aller vers le comptoir);Choice : (sortir);;;;
RemoveKarma;Node=>jeu;Node=>comptoir;HideOther;;;;
Node=>combatSalle;;;Fade;;;;
;;;Narrator : Le bateau est toujours sur la plage.;;;;
;;;Node=>debut;;;;
;;;;;;;
[combatSalle];;;;;;;
OtherSpeak : Qu'est-ce qu'il veut celui là ?!;;;;;;;
LaunchCombat;;;;;;;
Node=>salleVide;;;;;;;
;;;;;;;
[salleVide];;;;;;;
Narrator : La salle est vide. Le serveur et les musiciens se sont enfuit pendant le combat.;;;;;;;
SetChoices3;;;;;;;
Choice : (revenir au bateau)(partir);Choice : (fouiller la salle)(loot);Choice : (fouiller comptoir)(loot);;;;;
Fade;Narrator : Il n'y a pas grands choses, a part le jeu de carte posé sur l'une des tables.;RandomPercent30;;;;;
Node=>debut;AddToInventory<Jeu de carte>/Misc;PlayerSpeak : Bingo !;PlayerSpeak : Rien du tout…;;;;
;Node=>salleVide;LootFood;Node=>salleVide;;;;
;;Node=>salleVide;;;;;
;;;;;;;
;;;;;;;
[jeu];;;;;;;
OtherSpeak : Assieds toi jeune !;;;;;;;
OtherSpeak : Tu connais les règles du pierre papier ciseau ?;;;;;;;
[choix regles];;;;;;;
SetChoices2;;;;;;;
Choice : Non;Choice : Oui;;;;;;
OtherSpeak : Jva t'expliquer.;OtherSpeak : Très bien.;;;;;;
OtherSpeak : Tu fais avec ta main une pierre, un papier ou un ciseau.;OtherSpeak : Le pari est à 50 pièces d'or;;;;;;
OtherSpeak : Je fais de même.;SetChoices2;;;;;;
OtherSpeak : On montre en même temps.;Choice : (partir);Choice : (parier)(trade);;;;;
OtherSpeak : Pierre remporte ciseau.;Node=>entrée casino;CheckGold50;;;;;
OtherSpeak : Ciseau remporte papier.;;RemoveGold50;OtherSpeak : Tu n'as pas assez.;;;;
OtherSpeak : Papier remporte pierre.;;OtherSpeak : Commençons;Node=>entrée casino;;;;
OtherSpeak : Tout est clair ?;;Node=>shifumi1;;;;;
Node=>choix regles;;;;;;;
;;;;;;;
[shifumi1];;;;;;;
SetChoices3;;;;;;;
Choice : Pierre;Choice : Papier;Choice : Ciseau;;;;;
Node=>pierre;Node=>papier;Node=>ciseau;;;;;
;;;;;;;
;;;;;;;
[comptoir];;;;;;;
NewCrew1;;;;;;;
[switch quete];;;;;;;
OtherSpeak : Hélà, qu'est-ce que je vous sers ?;Node=>la quete;;;;;;
[discussion];;;;;;;
SetChoices4;;;;;;;
Choice : Rien !(partir);Choice : De la nourriture !(trade);Choice : Une information sur Bobby Dick ?!;;Choice : Il tourne bien le casino ?!(quete);;;[la quete]
HideOther;TradeFood;RandomRange2;;RandomRange2;;;NewQuest=>discussion
Node=>entrée casino;Node=>comptoir;OtherSpeak : Ah ça c'est DIRECTIONTOFORMULA;OtherSpeak : Ah ça me dit rien non.;OtherSpeak : Ça dépend de la chance des gens.;OtherSpeak : Le casino oui, mais moi j'ai un problème;;
;;Node=>comptoir;Node=>comptoir;OtherSpeak : On est à un jet de dé de la faillite !;OtherSpeak : Et j'ai besoin d'aide !;;
;;;;Node=>discussion;SetChoices2;;
;;;;;Choice : La mer m'appelle.;Choice : Je vous aide alors.;
;;;;;OtherSpeak : Mince;Switch=>switch quete;
;;;;;Node=>discussion;Node=>la quete;
;;;;;;;
;;;;;;;
[pierre];;;;;;;
RandomRedoRange3;;;;;;;
OtherSpeak : Pierre !;OtherSpeak : Ciseau !;OtherSpeak : Papier !;;;;;
OtherSpeak : Arg !;OtherSpeak : Errrgh…;OtherSpeak : Aha je vais garder ton argent !;;;;;
OtherSpeak : Encore !;OtherSpeak : Prends ton argent…;Node=>entrée casino;;;;;
Node=>shifumi1;AddGold100;;;;;;
;Node=>entrée casino;;;;;;
;;;;;;;
;;;;;;;
[papier];;;;;;;
RandomRedoRange3;;;;;;;
OtherSpeak : Papier !;OtherSpeak : Pierre !;OtherSpeak : Ciseau !;;;;;
OtherSpeak : Arg !;OtherSpeak : Errrgh…;OtherSpeak : Aha je vais garder ton argent !;;;;;
OtherSpeak : Encore !;OtherSpeak : Prends ton argent…;Node=>entrée casino;;;;;
Node=>shifumi1;AddGold100;;;;;;
;Node=>entrée casino;;;;;;
;;;;;;;
[ciseau];;;;;;;
RandomRedoRange3;;;;;;;
OtherSpeak : Ciseau !;OtherSpeak : Papier !;OtherSpeak : Pierre !;;;;;
OtherSpeak : Arg !;OtherSpeak : Errrgh…;OtherSpeak : Aha je vais garder ton argent !;;;;;
OtherSpeak : Encore !;OtherSpeak : Prends ton argent…;Node=>entrée casino;;;;;
Node=>shifumi1;AddGold100;;;;;;
;Node=>entrée casino;;;;;;
