Nom;Fréquence %;Sprite ID;;;;;
Forgeron;2,99;1;;;;;
[debut];;;;;;;
Narrator : Le bateau est accosté sur une plage d'herbe. Elle est composée de quelques plates collines. Pas très loin, une maisonnette est surplombée d'une gigantesque cheminée, qui crache une colonne de fumée noire.;;;;;;;
CheckQuest=>choix debut;;;;;;;
[choix debut];;;;;;;
SetChoices2;;;;;;;
Choice : (partir);Choice : Avancons vers la maison;;;;;;
PlayerSpeak : Pas le temps;PlayerSpeak : Allons y…;;;;;;
Leave;Fade;;;;;;
;Node=>maison forgeron;;;;;;
[maison forgeron];;;;;;;
Narrator : Le capitaine arrive devant une petite maison de briques rouges. ;;;;;;;
NewCrew1/M;;;;;;;
OtherSpeak : Bonjour !;Node=>forgeron mort;OtherSpeak : Tu oses revenir…;;;;;
[switch quete];;LaunchCombat;;;;;
Node=>discussion forgeron;Node=>la quete;Node=>combat forgeron;;;;;
;;;;;;;
[discussion forgeron];Node=>la quete;;;;;;
SetChoices4;;;;;;;[la quete]
Choice : (partir);Choice : Héla ! Tu vends des armes ?(trade);;Choice : (attaquer);Choice : Ça se passe comment par ici ?(quete);;;NewQuest=>discussion forgeron
HideOther;RandomPercent8;OtherSpeak : Avec plaisir !;RemoveKarma;RandomRange2;;;
Leave;OtherSpeak : Pas à des gens comme toi !;TradeWeapons/Clothes;[combat forgeron];OtherSpeak : Comme quand on installe une forge au milieu d'une île vierge.;OtherSpeak : Un enfer.;;
;Node=>discussion forgeron;Node=>discussion forgeron;OtherSpeak : Tu te frottes à la mauvaise personne !;OtherSpeak : Moyen.;OtherSpeak : On aurait bien besoin d'aide.;;
;;;LaunchCombat;Node=>discussion forgeron;SetChoices2;;
;;;Node=>forgeron mort;;Choice : Désolé j'ai piscine.;Choice : Je m'en charge.;
;;;;;OtherSpeak : Dommage.;Switch=>switch quete;
;;;;;Node=>discussion forgeron;Node=>la quete;
[forgeron mort];;;;;;;
Narrator : Le forgeron est mort, mais sa forge continu de brûler. Derrière la forge se trouve toute sorte de métaux.;;;;;;;
SetChoices3;;;;;;;
Choice : (partir);Choice : Entrons dans maison;;;Choice : (regarder derrière forge)(loot);;;
Fade;NewCrew1/F;Node=>femme mort;Node=>combat femme;RandomRange3;;;
Node=>debut;OtherSpeak : !;;;PlayerSpeak : Que des bouts de métal et de la rouille !;PlayerSpeak : Tout plein de choses, mais pas d'armes !;PlayerSpeak : Bingo !;
;OtherSpeak : Qu'est-ce que vous faites chez moi ?!;;;Node=>forgeron mort;LootMisc;LootWeapons;
;Node=>choix femme;;;;Node=>forgeron mort;Node=>forgeron mort;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
[choix femme];;;;;;;
SetChoices2;;Choice : Vous allez mourir(attaquer);;;;;
Choice : J'ai tué votre mari…;;Node=>combat femme;;;;;
RemoveKarma;;;;;;;
OtherSpeak : Noooooon;;;;;;;
RandomPercent50;Node=>combat femme;;;;;;
Narrator : La magnifique femme est à genoux et pleure…;;;;;;;
Choice : Fouiller;Choice : Allons nous en(partir);;;;;;
Node=>fouiller;HideOther;;;;;;
;Fade;;;;;;
;Node=>forgeron mort;;;;;;
;;;;;;;
;;;;;;;
[combat femme];;;;;;;
OtherSpeak : Enculé !;;;;;;;
LaunchCombat;;;;;;;
Node=>femme mort;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
[femme mort];;;;;;;
Narrator : Le cadavre de la femme git au beau milieu du salon. La maison est vide.;;;;;;;
[fouiller];;;;;;;
SetChoices3;;;;;;;
Choice : (sortir)(partir);Choice : (fouiller cuisine)(loot);;Choice : (fouiller bureau)(loot);;;;
Fade;RandomRange2;PlayerSpeak : Miam !;RandomRange2;;;;
Node=>forgeron mort;PlayerSpeak : Ils ont TOUT mangé !;LootFood;PlayerSpeak : Juste quelques patrons et des lettres…;PlayerSpeak : Il y a une vielle carte qui indique DIRECTIONTOFORMULA;;;
;Node=>fouiller;Node=>fouiller;Node=>fouiller;Node=>fouiller;;;
