Nom;Fréquence %;Sprite ID;;;;;;
Kidnap;23,08;0;;;;;;
[debut];;;;;;;;
OtherSpeak : Mon enfant !;;;;;;;;
OtherSpeak : Des bandits ont pris mon enfant !;;;;;;;;
OtherSpeak : Vous pouvez faire quelque chose ?;;;;;;;;
SetChoices2;;;;;;;;
Choice : Non c'est pas possible;Choice : Je m'en occupe(quete);;;;;;;
OtherSpeak : Vous êtes sans cœur !;AddCurrentQuest;;;;;;;
Leave;OtherSpeak : Ils sont partis par là;;;;;;;
;ShowQuestOnMap;;;;;;;
;Leave;;;;;;;
[suite];;;;;;;;
RandomRange2;;;;;;;;
Node=>bandits voient pas;Node=>bandits voient;;;;;;;
;;;;;;;;
[bandits voient pas];;;;[bandits voient];;;;
Narrator : Un groupe de malfrat est adossé à un gros rocher. Ils ont à côté d’eux un prisonnier, et n’ont pas encore vu CAPITAINE.;;;;Narrator : Un groupe de malfrat est adossé à un gros rocher. Ils ont à côté d’eux un prisonnier, et s’approche dangereusement de CAPITAINE;;;;
NewCrew;;;;NewCrew;;;;
[choix bandits 1];Node=>retrouvage;Node=>combat bandits;;[choix bandits 2];Node=>retrouvage;Node=>combat bandits;;
SetChoices2;;;;SetChoices3;;;;
Choice : (continuer son chemin)(partir);Choice : Hey ! Libérez le gamin !? (attaquer);;;Choice : (attaquer);Choice : (courir)(dex);;Choice : (charmer)(cha);
HideOther;OtherSpeak : Et alors ?;;;PlayerSpeak : Huzzah !;CheckStatDEX;;CheckStatCHA;
Leave;Node=>combat bandits;;;Node=>combat bandits;PlayerSpeak : Tayoh !;OtherSpeak : Vous allez où comme ça ?;PlayerSpeak : Je suis PLUS bon que vous :;OtherSpeak : Vous allez où comme ça ?
;;;;;HideOther;Node=>combat bandits;OtherSpeak : On s’arrache les gars;Node=>combat bandits
;;;;;Leave;;HideOther;
[combat bandits];;;;;;;Leave;
LaunchCombat;;;;;;;;
PlayerSpeak : Morts !;;;;;;;;
[retrouvage];;;;;;;;
NewCrew1;;;;;;;;
OtherSpeak : Enfin ! Je vais rentrer à la maison !;;;;;;;;
[choix kidnap];;;;;;;;
SetChoices2;;;;;;;;
Choice : Oublie tes parents ! Rejoins l’équipe(nouveau membre);Choice : On te ramène chez tes parents !(quete);;;;;;;
RandomRange2;OtherSpeak : Merci !;;;;;;;
OtherSpeak : Alors là oui !;AccomplishQuest;;;;;;;
OtherSpeak : Tout sauf la raclée que je vais recevoir.;Leave;;;;;;;
OtherSpeak : Pour avoir fugué !;;;;;;;;
AddMember;;;;;;;;
GiveUpQuest;;;;;;;;
RemoveKarma;;;;;;;;
Leave;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[fin];;;;;;;;
IsQuestAccomplished;;;;;;;;
OtherSpeak : Mon enfant !;OtherSpeak : Où est mon enfant ! Il va bien ?;;;;;;;
OtherSpeak : Merci de tout coeur !;Leave;;;;;;;
FinishQuest;;;;;;;;
Leave;;;;;;;;
