Provisions;Description;Value;$;W;LVL
Betterave;C'est un betterave;5;8;3;0
Hareng;C'est un hareng;4;6;2;0
Bout de pain;C'est un bout de pain;4;6;2;0
Sardine;C'est un sardine;2;3;1;0
Bout de lard;C'est un bout de lard;2;3;2;0
Chou de Bruxelles;C'est un chou de bruxelles;3;5;2;0
Châtaigne;C'est un châtaigne;2;3;1;0
Citron;C'est un citron;4;6;1;0
Ail;C'est un ail;3;5;1;0
Maïs;C'est un maïs;1;2;2;0
Biscuit;C'est un biscuit;2;3;2;0
Thon;C'est un thon;2;3;2;0
Morceau de fromage;C'est un morceau de fromage;3;5;3;0
Cacahuètes;C'est un cacahuètes;1;2;1;0
Crustacé;C'est un crustacé;1;2;4;0
Lapin;C'est un lapin;5;8;5;0
Lotte;C'est un lotte;4;6;4;0
Morue;C'est un morue;3;5;3;0
Crabe;C'est un crabe;4;6;3;0
Crevette;C'est un crevette;3;5;2;0
Oeuf de caille;C'est un oeuf de caille;4;6;2;0
Carré de chocolat;C'est un carré de chocolat;4;6;2;0
Madeleine;C'est un madeleine;1;2;2;0
Poulet;C'est un poulet;1;2;4;0
Noix;C'est un noix;3;5;2;0
Ananas;C'est un ananas;5;8;3;0
Clémentine;C'est un clémentine;1;2;2;0
Orange;C'est un orange;5;8;2;0
Champignon;C'est un champignon;5;8;2;0
Saumon;C'est un saumon;5;8;4;0
Cabillaud;C'est un cabillaud;2;3;3;0
Homard;C'est un homard;2;3;4;0
Lasagnes;C'est un lasagnes;4;6;3;0
Patisserie;C'est un patisserie;2;3;3;0
Pomme;C'est un pomme;4;6;1;0
Asperges;C'est un asperges;3;5;2;0
